saddr,success,ttl
158.37.63.93,1,55
158.37.63.159,1,54
158.37.63.244,1,54
158.37.63.229,1,55
158.37.63.9,1,56
158.37.63.250,1,56
158.37.63.139,0,55
158.37.63.36,1,55
158.37.63.199,1,56
158.37.63.58,1,55
158.37.63.51,1,55
158.37.63.168,1,56
158.37.63.38,1,54
158.37.63.178,0,55
158.37.63.99,0,56
158.37.63.131,1,55
158.37.63.213,1,55
158.37.63.96,1,54
158.37.63.200,1,56
158.37.63.146,0,55
158.37.63.114,1,55
158.37.63.86,1,54
158.37.63.87,0,56
158.37.63.164,1,55
158.37.63.121,0,56
158.37.63.10,0,55
158.37.63.219,1,55
158.37.63.111,0,56
158.37.63.2,1,56
158.37.63.101,1,55
158.37.63.56,1,55
158.37.63.142,0,56
158.37.63.188,0,55
158.37.63.193,1,56
158.37.63.23,0,56
158.37.63.43,1,56
158.37.63.123,0,56
158.37.63.145,1,55
158.37.63.184,1,55
158.37.63.222,0,56
158.37.63.133,0,55
158.37.63.160,1,55
158.37.63.88,1,54
158.37.63.21,1,55
158.37.63.55,0,55
158.37.63.29,1,54
158.37.63.20,1,55
158.37.63.182,0,55
158.37.63.170,0,56
158.37.63.54,1,56
158.37.63.163,1,55
158.37.63.62,1,56
158.37.63.35,1,55
158.37.63.205,0,56
158.37.63.148,0,55
158.37.63.15,0,55
158.37.63.22,0,56
